genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1,F2
50,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
51,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
52,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
53,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
54,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
55,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
56,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
57,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
58,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
59,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
60,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
61,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
